word	phonetic	chinese	english
provincial	prә'vinʃәl	n. 外地人, 粗野的人；a. 省的, 外地的, 偏狭的	n. (Roman Catholic Church) an official in charge of an ecclesiastical province acting under the superior general of a religious order / a. of or associated with a province / a. characteristic of the provinces or their people
provision	prә'viʒәn	n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款；vt. 供给...食物及必需品	n. a stipulated condition / n. the activity of supplying or providing something / n. a store or supply of something (especially of food or clothing or arms)
provocative	prә'vɒkәtiv	a. 激发感情的, 挑拨的, 刺激的；n. 刺激物, 挑拨物, 兴奋剂	a. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy / s. exciting sexual desire
provoke	prә'vәuk	vt. 激怒, 惹起, 诱导；刺激, 煽动, 激怒	v. evoke or provoke to appear or occur / v. provide the needed stimulus for
proximity	prɒk'simiti	n. 接近, 亲近	n. the property of being close together / n. the region close around a person or thing / n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit
psyche	'psaiki	n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)；精神, 心灵	n. (Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul
psychiatric	saiki'ætrik; (?@) si-	a. 精神病学的, 医精神病的；精神病学的	a. relating to or used in or engaged in the practice of psychiatry
psychiatrist	sai'kaiәtrist	n. 精神病医生, 精神病学家；精神病学家	n. a physician who specializes in psychiatry
psychic	'saikik	a. 灵魂的, 精神的, 心灵的；n. 巫师, 灵物, 心灵现象	n. a person apparently sensitive to things beyond the natural range of perception / s. affecting or influenced by the human mind / s. outside the sphere of physical science
psychological	.saikә'lɒdʒikәl	a. 心理学的, 精神上的, 心灵的；心理上的, 心理学的	s. mental or emotional as opposed to physical in nature / a. of or relating to or determined by psychology
psychologist	sai'kɒlәdʒist	n. 心理学家；心理学家	n. a scientist trained in psychology
psychology	sai'kɒlәdʒi	n. 心理学, 心理状态；心理学	n. the science of mental life
pub	pʌb	n. 酒馆, 客栈	n tavern consisting of a building with a bar and public rooms; often provides light meals
public	'pʌblik	n. 公众, 民众；a. 公众的, 公共的, 公立的, 公用的	n. a body of people sharing some common interest / a. not private; open to or concerning the people as a whole / s. affecting the people or community as a whole
publication	.pʌbli'keiʃәn	n. 出版物, 出版, 公布；发布	n. a copy of a printed work offered for distribution / n. the communication of something to the public; making information generally known / n. the business of issuing printed matter for sale or distribution
publicity	pʌb'lisiti	n. 名声, 宣传, 公开场合；宣传, 广告	n. the quality of being open to public view
publicly	'pʌblikli	adv. 公然地, 以公众名义	r. in a manner accessible to or observable by the public; openly / r. by the public or the people generally
publish	'pʌbliʃ	vt. 出版, 发行, 公开, 发表, 宣传, 公布；vi. 出版, 发行	v. prepare and issue for public distribution or sale / v. have (one's written work) issued for publication
published		a. 已发布的	a. prepared and printed for distribution and sale
publisher	'pʌbliʃә	n. 出版者, 发行人；发行人, 出版者, 报刊发行者	n. a firm in the publishing business / n. a person engaged in publishing periodicals or books or music / n. the proprietor of a newspaper
publishing	'pʌbliʃiŋ	n. 出版, 刊印, 发行	n the business of issuing printed matter for sale or distribution / v put into print / v prepare and issue for public distribution or sale
pull	pul	vt. 拉, 拖, 拔, 牵, 撕开, 吸引；vi. 拉, 拖, 拔, 有吸引力；n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引	n. the act of pulling; applying force to move something toward or with you / n. the force used in pulling / n. special advantage or influence
pulse	pʌls	n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类；vi. 跳动, 脉跳；vt. 使跳动, 用脉冲调制	n. the rhythmic contraction and expansion of the arteries with each beat of the heart / n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health / n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
pump	pʌmp	n. 抽水机, 打气筒, 泵, 抽吸；vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫；vi. 抽水, 上下(或往复)运动	n. a mechanical device that moves fluid or gas by pressure or suction / n. a low-cut shoe without fastenings / v. operate like a pump; move up and down, like a handle or a pedal
pumpkin	'pʌmpkin	n. 南瓜	n. a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes / n. usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn
punch	pʌntʃ	n. 打洞器, 钻孔机, 冲压机, 冲床, 潘趣酒；vt. 以拳重击, 开洞, 冲压；vi. 用拳猛击	n. (boxing) a blow with the fist / n. an iced mixed drink usually containing alcohol and prepared for multiple servings; normally served in a punch bowl / n. a tool for making holes or indentations
punish	'pʌniʃ	vt. 处罚, 惩罚, 严厉对待；vi. 惩罚	v. impose a penalty on; inflict punishment on
punishment	'pʌniʃmәnt	n. 处罚, 刑罚, 惩罚；罚, 处罚, 刑罚	n. the act of punishing
pupil	'pju:pl	n. 学生, 门生, 未成年人, 瞳孔；瞳孔	n. the contractile aperture in the center of the iris of the eye; resembles a large black dot
puppet	'pʌpit	n. 傀儡, 木偶；木偶, 傀儡, 受他人操纵的人	n. a small figure of a person operated from above with strings by a puppeteer / n. a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers
puppy	'pʌpi	n. 小狗, 小动物, 自负的年轻人	n. a young dog / n. an inexperienced young person
purchase	'pә:tʃәs	n. 购买, 购买品, 紧握, 绞辘；vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)	n. the acquisition of something for payment / n. something acquired by purchase / n. a means of exerting influence or gaining advantage
pure	pjuә	a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的；的, 纯净的	a. free of extraneous elements of any kind / s. free from discordant qualities / s. concerned with theory and data rather than practice; opposed to applied
purely	'pjuәli	adv. 纯粹地, 清白地, 贞洁地	r restricted to something
purple	'pә:pl	n. 紫色, 帝位；a. 紫色的, 帝王的, 华而不实的；v. (使)成紫色	n. a purple color or pigment / n. of imperial status / v. become purple
purpose	'pә:pәs	n. 目的, 意向, 决心, 用途, 效果, 论题；vt. 意欲, 企图, 计划	n. an anticipated outcome that is intended or that guides your planned actions / v. reach a decision
purse	pә:s	n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物；v. 缩拢, 皱起	n. a sum of money spoken of as the contents of a money purse / n. a small bag for carrying money / n. a sum of money offered as a prize
pursue	pә'sju:	vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事；vi. 追赶, 继续	v. follow in or as if in pursuit / v. carry further or advance
pursuit	pә'sju:t	n. 追踪, 追求, 追赶, 娱乐, 职业；追捕, 追求	n. the act of pursuing in an effort to overtake or capture / n. a search for an alternative that meets cognitive criteria
push	puʃ	n. 推, 推动, 奋斗, 攻击, 进取心；vt. 推, 推动, 使伸出, 推行, 逼迫, 增加；vi. 推, 推进, 增加, 努力争取	n. the act of applying force in order to move something away / n. the force used in pushing / n. an effort to advance
put	put	vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予；vi. 出发, 航行, 发芽；n. 掷, 股票出售权, 笨蛋	v. put into a certain place or abstract location / v. cause to be in a certain state; cause to be in a certain relation / v. attribute or give
puzzle	'pʌzl	n. 难题, 迷惑；vt. 使困惑, 使为难；vi. 迷惑, 苦思	n. a particularly baffling problem that is said to have a correct solution / n. a game that tests your ingenuity / v. be uncertain about; think about without fully understanding or being able to decide
puzzled		a. 困惑的, 迷惑的	v be a mystery or bewildering to / v be uncertain about; think about without fully understanding or being able to decide / s filled with bewilderment
pyramid	'pirәmid	n. 角锥, 金字塔；v. (使)成金字塔状, (使)渐增, (使)上涨	n. a polyhedron having a polygonal base and triangular sides with a common vertex / n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases / n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
qualification	.kwɒlifi'keiʃәn	n. 资格, 条件, 限制；限定	n. an attribute that must be met or complied with and that fits a person for something / n. the act of modifying or changing the strength of some idea
qualified	'kwɒlifaid	a. 有资格的；合格的, 有条件的, 有限制的	a. meeting the proper standards and requirements and training for an office or position or task / a. limited or restricted; not absolute
qualify	'kwɒlifai	vi. 取得资格, 有资格；vt. 使有资格, 使合格, 限定, 限制, 准予	v. prove capable or fit; meet requirements / v. pronounce fit or able / v. make more specific
qualitative	'kwɒlitәtiv	a. 性质的, 质的, 定性的	a. involving distinctions based on qualities / a. relating to or involving comparisons based on qualities
quality	'kwɒlәti	n. 品质, 特性, 才能, 质量；a. 优质的；品质	n. an essential and distinguishing attribute of something or someone / n. a degree or grade of excellence or worth / n. a characteristic property that defines the apparent individual nature of something
quantitative	'kwɒntitәtiv	a. 数量的, 定量的；定量的, 数量的	a. expressible as a quantity or relating to or susceptible of measurement / a. relating to the measurement of quantity / a. (of verse) having a metric system based on relative duration of syllables
quantity	'kwɒntәti	n. 量, 数量, 总量；数量; 量	n. an adequate or large amount / n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable
quantum	'kwɒntәm	n. 量, 量子；量子	n. a discrete amount of something that is analogous to the quantities in quantum theory / n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)
quarter	'kwɒ:tә	n. 四分之一, 一刻钟, 季度, 地区；vt. 四等分, 肢解；vi. 驻扎, 住宿	n. a district of a city having some distinguishing character / n. (football, professional basketball) one of four divisions into which some games are divided / n. a unit of time equal to 15 minutes or a quarter of an hour
quarterback	'kwɒ:tәbæk	n. 四分卫；vi. 担任四分卫	n. (football) the person who plays quarterback / n. (American football) the position of the football player in the backfield who directs the offensive play of his team / v. play the quarterback
quest	kwest	n. 探索, 寻求, 调查；v. 寻找, 找, 追寻猎物	n. the act of searching for something / v. make a search (for) / v. search the trail of (game)
question	'kwestʃәn	n. 问题, 询问；v. 询问, 审问, 怀疑；询问	n. an instance of questioning / n. the subject matter at issue / n. a sentence of inquiry that asks for a reply
questionable	'kwestʃәnәbl	a. 可疑的；可疑的, 有问题的, 不可靠的	a. subject to question / s. able to be refuted
questioning	'kwestʃәniŋ	审问, 讯问, 质问	n. a request for information / s. perplexed (as if being expected to know something that you do not know)
questionnaire	kwestʃә'nєә	n. 调查表, 问卷；调查表	n. a form containing a set of questions; submitted to people to gain statistical information
quick	kwik	a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的；adv. 快；n. 新长出的肉, 要害, 核心, 感觉敏锐部位	n. any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail) / s. accomplished rapidly and without delay / s. apprehending and responding with speed and sensitivity
quickly	'kwikli	adv. 很快地	r. with rapid movements
quiet	'kwaiәt	n. 安静, 闲适, 平静；a. 安静的, 静止的, 寂静的, 朴素的, 从容的, 暗中的；vi. 平静下来	a. characterized by an absence or near absence of agitation or activity / a. free of noise or uproar; or making little if any sound / s. not showy or obtrusive
quietly	'kwaiәtli	adv. 安静地, 沉着地, 秘密地	r. with little or no sound / r. with little or no activity or no agitation (`quiet' is a nonstandard variant for `quietly')
quilt	kwilt	n. 棉被；vt. 加软衬料后缝制, 东拼西凑地编；vi. 缝被子	n. bedding made of two layers of cloth filled with stuffing and stitched together / v. stitch or sew together / v. create by stitching together
quit	kwit	vi. 离开, 辞职, 停止；vt. 离开, 放弃, 使解除, 停止；n. 离开	v put an end to a state or an activity / v give up or retire from a position / v go away or leave
quite	kwait	adv. 相当, 完全, 十分	r. to a degree (not used with a negative) / r. to the greatest extent; completely / r. of an unusually noticeable or exceptional or remarkable kind (not used with a negative)
quota	'kwәutә	n. 配额, 限额；定额	n. a prescribed number / n. a proportional share assigned to each participant / n. a limitation on imports
quote	kwәut	n. 引用；vt. 引述, 举证, 报(价)；vi. 引用	v. repeat a passage from / v. name the price of / v. refer to for illustration or proof
rabbit	'ræbit	n. 兔子；vi. 猎兔；vt. 让...见鬼去	n. any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food / n. flesh of any of various rabbits or hares (wild or domesticated) eaten as food / v. hunt rabbits
race	reis	n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根；vi. 赛跑, 竞赛, 疾走；vt. 与...赛跑, 使疾走, 使猛转	n. any competition / n. a contest of speed / n. people who are believed to belong to the same genetic stock
racial	'reiʃәl	a. 人种的, 种族的；种族的	a. of or related to genetically distinguished groups of people / a. of or characteristic of race or races or arising from differences among groups
racism	'reisizm	n. 种族主义, 种族偏见；种族主义, 种族歧视, 种族歧视主张	n. the prejudice that members of one race are intrinsically superior to members of other races / n. discriminatory or abusive behavior towards members of another race
racist	'reisist	n. 种族主义者；种族主义的, 种族歧视	n. a person with a prejudiced belief that one race is superior to others / s. based on racial intolerance / s. discriminatory especially on the basis of race or religion
rack	ræk	n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团；vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问；vi. 变形, 倾斜, (云)随风飘, (马)小步跑	n. framework for holding objects / n. rib section of a forequarter of veal or pork or especially lamb or mutton / n. an instrument of torture that stretches or disjoints or mutilates victims
radar	'reidә	n. 雷达, 无线电探测器；雷达图	n. measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
radiation	.reidi'eiʃәn	n. 辐射；放射	n. energy that is radiated or transmitted in the form of rays or waves or particles / n. the act of spreading outward from a central source / n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
radical	'rædikl	n. 激进分子, 词根, 基础, 根式, 根；a. 激进的, 根本的, 基本的, 根的	n. a person who has radical ideas or opinions / n. (mathematics) a quantity expressed as the root of another quantity / n. a character conveying the lexical meaning of a logogram
radically	'rædikәli	adv. 根本地, 完全地	r. in a radical manner
radio	'reidiәu	n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台；v. 用无线电发送	n. medium for communication / n. a communication system based on broadcasting electromagnetic waves / v. transmit messages via radio waves
radioactive	.reidiәu'æktiv	a. 放射性的, 有放射能的；放射性的, 放射的	a. exhibiting or caused by radioactivity
raft	ræft	n. 筏, 救生筏, 大量；vi. 乘筏；vt. 筏运, 制成筏	n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers / v. transport on a raft / v. travel by raft in water
rag	ræg	n. 碎布, 抹布, 碎片, 碎屑, 少量, 破旧衣服；vt. 责骂, 揶揄, 戏弄；vi. 喧闹	n. a small piece of cloth or paper / n. a week at British universities during which side-shows and processions of floats are organized to raise money for charities / n. a boisterous practical joke (especially by college students)
rage	reidʒ	n. 愤怒, 情绪激动, 狂暴；vi. 大怒, 狂吹, 流行	n. a state of extreme anger / n. something that is desired intensely / n. violent state of the elements
raid	reid	n. 袭击, 突袭, 搜捕；v. 奇袭, 搜捕；廉价磁盘冗余阵列	n. an attempt by speculators to defraud investors / v. search without warning, make a sudden surprise attack on / v. take over (a company) by buying a controlling interest of its stock
rail	reil	n. 横杆, 围栏, 栏杆, 铁轨, 扶手, 秧鸡；vt. 以横木围栏, 给...铺铁轨；vi. 责骂, 抱怨	n. short for railway / n. a horizontal bar (usually of wood or metal) / n. any of numerous widely distributed small wading birds of the family Rallidae having short wings and very long toes for running on soft mud
railing	'reiliŋ	n. 扶手, 栏杆, 抱怨；高重回率的雷达脉冲排挤	n. a barrier consisting of a horizontal bar and supports / n. material for making rails or rails collectively
railroad	'reilrәud	n. 铁路, 铁路公司；vt. 铺设铁路, 用铁路运输；vi. 在铁路工作	v. supply with railroad lines / v. transport by railroad
rain	rein	n. 雨, 下雨, 雨天；vi. 下雨；vt. 使大量落下	n. water falling in drops from vapor condensed in the atmosphere / n. drops of fresh water that fall as precipitation from clouds / n. anything happening rapidly or in quick successive
rainbow	'reinbәu	n. 彩虹；a. 五彩缤纷的	n. an arc of colored light in the sky caused by refraction of the sun's rays by rain / n. an illusory hope
rainy	'reini	a. 下雨的, 多雨的	s (of weather) wet by periods of rain
raise	reiz	n. 上升, 高地, 增高；vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养	n. the amount a salary is increased / n. increasing the size of a bet (as in poker) / v. raise the level or amount of something
raised	reizd	a. 凸起的, 浮雕的, 发酵的；隆起的	a. located or moved above the surround or above the normal position / s. increased in amount or degree
rally	'ræli	n. 重振旗鼓, 集合, 群众集会, 跌停回升；v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑	n. a large gathering of people intended to arouse enthusiasm / n. the feat of mustering strength for a renewed effort / n. a marked recovery of strength or spirits during an illness
ramp	ræmp	n. 斜坡, 坡道, 敲诈；vi. 狂跳乱撞, 乱冲, 敲诈, 蔓延；vt. 使有斜面, 敲诈	n. an inclined surface connecting two levels / n. North American perennial having a slender bulb and whitish flowers / n. a movable staircase that passengers use to board or leave an aircraft
ranch	ræntʃ. rɑ:ntʃ	n. 大牧场；v. 经营牧场	n. farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle) / v. manage or run a ranch
rancher	'ræntʃә	n. 大农场经营者, 牧场工人	n. a person who owns or operates a ranch
random	'rændәm	n. 随意, 随机；a. 任意的, 随便的, 胡乱的, 随机的；adv. 胡乱地	a. lacking any definite plan or order or purpose; governed by or depending on chance
randomly		adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地；随机地	r. in a random manner
range	'reindʒ	n. 排, 行, 山脉, 范围, 行列, 射程；vt. 排列, 归类于, 使并列, 放牧；vi. 平行, 延伸, 漫游	n. the limits within which something can be effective / n. a large tract of grassy open land on which livestock can graze / n. a series of hills or mountains
ranger	'reinʒә	n. 王室守林人, 骑警, 漫游者	n a member of the Texas state highway patrol; formerly a mounted lawman who maintained order on the frontier / n an official who is responsible for managing and protecting an area of forest / n a member of a military unit trained as shock troops for hit-and-run raids
rank	ræŋk	n. 等级, 排, 横列, 队伍, 阶级；a. 茂密丛生的, 恶臭的, 十足的, 粗俗的；vt. 排列, 归类于, 把...分等	n. a row or line of people (especially soldiers or police) standing abreast of one another / n. relative status / v. take or have a position relative to others
ranking	'ræŋkiŋ	n. 等级, 地位；a. 上级的, 头等的, 超群的	n. position on a scale in relation to others in a sport / s. having a higher rank
rap	ræp	n. 轻敲, 拍击, 责骂, 无价值的东西；vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷；vi. 敲击, 发敲击声, 交谈, 同情	n. a gentle blow / n. voluble conversation / n. genre of African-American music of the 1980s and 1990s in which rhyming lyrics are chanted to a musical accompaniment; several forms of rap have emerged
rape	reip	n. 抢夺, 掠夺, 强奸, 葡萄渣, 芸苔；vt. 掠夺, 抢夺, 强奸	n. Eurasian plant cultivated for its seed and as a forage crop / n. the act of despoiling a country in warfare / n. the crime of forcing a woman to submit to sexual intercourse against her will
rapid	'ræpid	a. 迅速的, 飞快的, 急促的, 陡的；n. 急流	n. a part of a river where the current is very fast / s. done or occurring in a brief period of time / s. characterized by speed; moving with or capable of moving with high speed
rapidly	'ræpidli	adv. 飞快地, 迅速地, 赶紧地	r with rapid movements
rare	rєә	a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的；adv. 非常	s. not widely known; especially valued for its uncommonness / s. recurring only at long intervals / s. not widely distributed
rarely	'rєәli	adv. 很少地, 罕有地	r. not often
rat	ræt	n. 鼠, 卑鄙的人, 破坏者, 变节者；vi. 捕鼠, 变节；vt. 弄蓬松	n. any of various long-tailed rodents similar to but larger than a mouse / n. a pad (usually made of hair) worn as part of a woman's coiffure / v. desert one's party or group of friends, for example, for one's personal advantage
rate	reit	n. 比率, 率, 速度, 价格, 费用, 等级；vt. 估价, 认为, 鉴定等级, 责骂；vi. 被评价, 责骂	n. a magnitude or frequency relative to a time unit / n. amount of a charge or payment relative to some basis / n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
rather	'ræðә	adv. 宁可, 稍微, 相当	r. on the contrary; rather (or instead), he wrote her a letter" / r. to some (great or small) extent
rating	'reitiŋ	n. 等级, 额定功率, 责骂；等级评定	n. standing or position on a scale
ratio	'reiʃәu	n. 比, 比率；比, 比率, 比例	n. the relative magnitudes of two quantities (usually expressed as a quotient)
rational	'ræʃәnl	a. 理性的, 合理的；n. 有理数	a. consistent with or based on or using reason / a. capable of being expressed as a quotient of integers / s. having its source in or being guided by the intellect (as distinguished from experience or emotion)
rationale	.ræʃә'nɑ:li	n. 基本原理；原理, 理论	n. (law) an explanation of the fundamental reasons (especially an explanation of the working of some device in terms of laws of nature)
rattle	'rætl	vt. 使嘎嘎响, 喋喋不休地说；vi. 格格响, 喋喋不休；n. 格格声, 拨浪鼓, 喋喋不休的话	n. a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders) / n. a baby's toy that makes percussive noises when shaken / n. loosely connected horny sections at the end of a rattlesnake's tail
raw	rɒ:	n. 擦伤处, 半成品；a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的；vt. 擦伤	n. informal terms for nakedness / s. having the surface exposed and painful / a. not treated with heat to prepare it for eating
ray	rei	n. 光线, 射线, 闪烁, 光辉；vi. 射出光线, 浮现, 放射光线；vt. 放射, 显出	n. a branch of an umbel or an umbelliform inflorescence / n. (mathematics) a straight line extending from a point / n. any of the stiff bony spines in the fin of a fish
razor	'reizә	n. 剃刀；vt. 剃	n. edge tool used in shaving / v. shave with a razor
re	ri:	prep. 关于；n. 不动产, 房地产；赖斯编码	n. the syllable naming the second (supertonic) note of any major scale in solmization
reach	ri:tʃ	n. 伸出, 延伸, 区域, 范围, 流域, 岬；vt. 到达, 达到, 伸出, 延伸, 影响；vi. 达到, 延伸, 伸出手, 传到	n. the act of physically reaching or thrusting out / v. reach a destination, either real or abstract / v. reach a point in time, or a certain state or level
react	ri'ækt	vi. 起反应, 起作用, 反攻；应答, 发生反应	v. show a response or a reaction to something / v. act against or in opposition to / v. undergo a chemical reaction; react with another substance under certain conditions
reaction	ri'ækʃәn	n. 反应, 反作用, 反动；反应	n. an idea evoked by some experience / n. a bodily process occurring due to the effect of some antecedent stimulus or agent / n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
reactor	ri'æktә	n. 反应者, 反应器, 反应堆, 电抗器；反应釜; 反应锅	n. an electrical device used to introduce reactance into a circuit
read	ri:d	v. 读, 阅读, 理解；a. 有学问的；n. 读取, 阅读	n. something that is read / v. interpret something that is written or printed / v. have or contain a certain wording or form
reader	'ri:dә	n. 读者, 读物, 文选, 校对人, 讲师；阅读程序; 阅读器	n. a person who enjoys reading / n. a person who can read; a literate person / n. one of a series of texts for students learning to read
readily	'redili	adv. 迅速地, 轻易地, 乐意地	r. without much difficulty
readiness	'redinis	n. 预备, 准备, 敏捷	n. the state of having been made ready or prepared for use or action (especially military action) / n. prompt willingness
reading	'ri:diŋ	n. 阅读, 知识, 读物；a. 阅读的	n. the cognitive process of understanding a written linguistic message / n. a particular interpretation or performance / n. a datum about some physical state that is presented to a user by a meter or similar instrument
ready	'redi	n. 预备好的状态, 现款；a. 准备好的, 备用的, 可以使用的；adv. 预先, 迅速	n. poised for action / a. completely prepared or in condition for immediate action or use or progress / s. (of especially money) immediately available
real	'riәl	a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的；n. 实数, 现实；adv. 真正地	n. the basic unit of money in Brazil; equal to 100 centavos / n. an old small silver Spanish coin / a. being or occurring in fact or actuality; having verified existence; not illusory; not ghosts"
realism	'riәlizm	n. 写实主义, 现实, 实在论；现实主义	n. the attribute of accepting the facts of life and favoring practicality and literal truth / n. (philosophy) the philosophical doctrine that physical objects continue to exist when not perceived
realistic	riә'listik	a. 现实的, 逼真的, 现实主义的, 实在论的	a. aware or expressing awareness of things as they really are / a. of or relating to the philosophical doctrine of realism
reality	ri'æliti	n. 实在, 事实, 实体, 逼真；现实, 实在存在的事物, 实在性	n. the state of being actual or real / n. the state of the world as it really is rather than as you might want it to be / n. the quality possessed by something that is real
realization	.riәlai'zeiʃәn	n. 实现, 领悟, 实得；现实化, 实现	n. coming to understand something clearly and distinctly / n. making real or giving the appearance of reality / n. a musical composition that has been completed or enriched by someone other than the composer
realize	'riәlaiz	vt. 了解, 实现, 使显得逼真, 变卖；vi. 变卖	v. make real or concrete; give reality or substance to / v. convert into cash; of goods and property / v. expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass
really	'riәli	adv. 实际上, 真实地, 实在	r in accordance with truth or fact or reality / r in actual fact / r in fact (used as intensifiers or sentence modifiers)
realm	relm	n. 王国, 领土, 领域；领域	n a domain in which something is dominant / n the domain ruled by a king or queen / n a knowledge domain that you are interested in or are communicating about
reap	ri:p	vt. 收割, 收获, 获得；vi. 收割, 得到报应	v. gather, as of natural products / v. get or derive
rear	riә	n. 后面, 背后, 后方；a. 后面的, 背面的, 后方的；vt. 养育, 培养, 饲养, 举起, 树立, 栽种	n. the back of a military formation or procession / n. the side of an object that is opposite its front / n. the side that goes last or is not normally seen
reason	'ri:zn	n. 理由, 原因, 理智, 道理, 前提, 理性；vt. 说服, 推论, 辩论；vi. 推论, 劝说, 思考	n. a rational motive for a belief or action / n. an explanation of the cause of some phenomenon / n. the capacity for rational thought or inference or discrimination
reasonable	'ri:znәbl	a. 合理的, 明理的, 适当的；合理的, 公道的, 正当的	a. showing reason or sound judgment / s. marked by sound judgment
reasonably	'ri:znәbli	adv. 适度地, 相当地	r. to a moderately sufficient extent or degree
reasoning	'ri:zniŋ	n. 推论, 推理, 论证；推理	n. thinking that is coherent and logical
reassure	.ri:ә'ʃuә	vt. 使...安心, 向...再保证；重新保证, 再保险, 使清除疑虑	v. cause to feel sure; give reassurance to / v. give or restore confidence in; cause to feel sure or certain
rebel	'rebl	n. 叛徒, 反叛者；vi. 造反, 反抗, 抵抗, 反感；a. 造反的, 反抗的	n. `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms / v. take part in a rebellion; renounce a former allegiance / v. break with established customs
rebellion	ri'beljәn	n. 谋反, 叛乱, 反抗；造反, 反叛, 叛乱	n. refusal to accept some authority or code or convention / n. organized opposition to authority; a conflict in which one faction tries to wrest control from another
rebound	ri'baund	vi. 弹回, 返回, 产生事与愿违的结果；vt. 使弹回, 使返回；n. 反弹, 返回, 篮板球, 振作	n. a reaction to a crisis or setback or frustration / n. the act of securing possession of the rebounding basketball after a missed shot
rebuild	ri'bild	vt. 改建, 重建, 改造；vi. 重建	v. build again
recall	ri'kɒ:l	n. 回忆, 召回, 撤消；vt. 回想, 回忆, 召回, 撤消, 使恢复；检索	n. a request by the manufacturer of a defective product to return the product (as for replacement or repair) / n. a call to return / n. a bugle call that signals troops to return
recede	ri'si:d	vi. 向后退, 退却, 收回, 降低, 减弱；退缩	v. become faint or more distant
receipt	ri'si:t	n. 收据, 收入, 收到；vt. 开...的收据	n. an acknowledgment (usually tangible) that payment has been made / v. mark or stamp as paid
receive	ri'si:v	vt. 收到, 接到, 得到, 接待, 迎接, 承受；vi. 收到, 会客；接收	v. get something; come into possession of / v. receive a specified treatment (abstract) / v. express willingness to have in one's home or environs
receiver	ri'si:vә	n. 接收器；接受者；收信机；收款员, 接待者	n. set that receives radio or tv signals / n. the tennis player who receives the serve / n. a football player who catches (or is supposed to catch) a forward pass
recent	'ri:snt	a. 最近的, 近代的, 最新的；最近的, 新进的	s. new
recently	'ri:sntli	adv. 最近	r. in the recent past
reception	ri'sepʃәn	n. 接待, 接受, 招待会；接受, 感受	n. the manner in which something is greeted / n. a formal party of people; as after a wedding / n. quality or fidelity of a received broadcast
recess	ri'ses	n. 休息, 休会, 放假, 凹进处, 深处；vt. 使凹进；vi. 休假, 休息	n. a small concavity / n. an enclosure that is set back or indented / v. put into a recess
